mechanism_string,matched_keywords,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
Suppression of peripheral and central neuropeptide Y (NPY) and PVN Y1 receptor elevation,neuropeptide,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Decreasing expression and inhibiting P2X3 receptors in DRG neurons,P2X,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Suppression of TRPV1 mRNA and protein upregulation in dorsal root ganglions (DRGs),TRPV1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Down-regulation of FosB/ΔFosB in reward-related brain regions,FosB,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Disruption of platelet-derived growth factor β receptor (PDGF-βR)/extracellular signal-regulated kinase (ERK) cascade and stimulation of extracellular matrix (ECM) degradation,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Hippocampal cholinergic system upregulation (AChE, VAChT, M1 receptor)",AMPA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Increased IL-4 responsiveness in macrophages and generation of alternatively activated macrophages,macrophage,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Synaptic remodeling and CaMKII expression upregulation in hippocampal CA3,AMPA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Bcl-2 and TGF-β1 upregulation,TGF-β,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Histamine-dependent analgesic effects via H1 receptor,analgesi,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Mediation by opioid pathways in the periphery,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Decrease in tumor-associated inflammation and PGE2 concentration,PGE2,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Attenuation of TRPV1 and TRPV4 protein expression and nerve excitation,TRPV1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Suppressing abnormal neuronal excitability (c-fos expression) in the spinal dorsal horn,spinal dorsal horn,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Regulation of hippocampal proteins related to amino acid metabolism and activation of MAPK signaling pathway,MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Enteric nervous system neuron regulation (nitrergic, cholinergic, VIP, CGRP)",CGRP,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Regulation of TrpV1 ion channel expression and ERK1/2 MAPK pathway activation,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Improving neuronal regeneration (increased GAP-50 and synaptophysin expression),neuronal regeneration,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Activation of PI3K/Akt pathway and inhibition of cell apoptosis,PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Increased collagen concentration and better collagen fiber organization,collagen concentration,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
"Up-regulation of hypothalamic AChE, VAChT, ChAT mRNA, and M1R mRNA",hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Modulation of IGF-I and reduction of oxidative stress,oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Modulation of spinal/peripheral NGF synthesis/utilization and normalization of sensory neuromodulators (NGF, TrkA, SP, TRPV1, GAD-67)","SP,",Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Decreased 5-HT3 receptor level in colon,5-HT,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
SIRT1/PGC-1α pathway activation (improved insulin signaling),SIRT1,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Cholecystokinin A (CCK-A) receptor mediation in nucleus parafascicularis (nPf),CCK-A,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Induction of vasoactive intestinal peptide (VIP) expression,vasoactive intestinal peptide,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Increased nitric oxide (NO) release in gracile nucleus,nitric oxide,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Suppression of IgE and IL-4 levels,IgE,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Mu-opioid receptor mediation of antinociception,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Activation of AMPK signaling pathways in skeletal muscle,AMPK,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
"Decreased expression of proinflammatory proteins (TNF-α, IL-6, pNF-κB, Iba-1) and increased activated pAKT and pERK",NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Cholinergic nerve activation enhancing insulin signaling,cholinergic nerve,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
"Unknown, but selectively decreases voluntary ethanol intake",,Other,Other,Other,Other,Other,Other,Other,Other
Down-regulation of ASIC3 overexpression in DRG neurons,ASIC,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
"Activation of opioid, adrenergic, serotonin, and dopamine receptors",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Prevention of hypertension progression, diminished cardiovascular remodeling, and elevated plasma/cardiac nitric oxide (NO)",nitric oxide,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Inhibition of inflammation, glial activation (OX-42, GFAP), MMP-9/MMP-2, and proinflammatory cytokines (TNF-α, IL-1β), and increased serum IgG",GFAP,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Stimulating cholinergic nerves leading to enhanced IRS1 and AKT2 expression and reduced plasma glucose,cholinergic nerve,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
"Regulation of gene expression levels (e.g., Tcra-V13.1, Hspa1b, Daf2, Nqo1) associated with innate immune, cellular defense in the hypothalamus",immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Enhancing spinal 5-HT2A/2C receptor activity and activation of serotonergic NRM neurons,5-HT,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Promotion of neural stem cell proliferation and differentiation into astroglia/neurons,neural stem,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Cholecystokinin A receptor signaling pathway activation in NTS,cholecystokinin,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Decrease in serum corticosterone and tyrosine hydroxylase expression,ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Inhibition of neuronal nitric oxide synthase expression,nitric oxide,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Suppression of pain-related gene expression (Fos, opioid, tachykinin, 5-HT receptors)",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Modulation of histaminergic, dopaminergic, and noradrenalinergic systems in PAG",PAG,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Vagal pathway mediation (improving gastric function),vagal,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Modulation of Th1/Th2/Th17 cytokines, opioid peptides, MAPK signaling, and apoptosis-related genes",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Spinal GABA A and GABA B receptor mediation,GABA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Regulation of pituitary and hypothalamic beta-endorphin and ACTH levels,endorphin,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Activation of peripheral mu, delta, and kappa opioid receptors",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Regulation of antioxidant defense system (reduction of oxidative stress),oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Decrease in microglial activity and TNF-alpha expression, reduction of neuronal loss",TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Adenosine A1 receptor mediation,eNOS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Down-regulation of central serotonergic activities in brain-gut axis,brain-gut,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Antagonism of cholecystokinin-8 (CCK-8) through its B receptor in the caudate nucleus,cholecystokinin,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Restoration of Th1/Th2/Th17/Treg balance via hypothalamic ACTH secretion,Treg,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Modulation of acetylcholinesterase T subunit (AChET) gene expression in hypothalamus,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Connexin 43 (Cx43) expression and gap junctional intercellular communication,Cx43,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Up-regulation of COX-1, COX-2 mRNA and NO levels",COX-2,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Modulation of autonomic nervous system (increased parasympathetic, inhibited sympathetic activity)",sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"AVP modulation in brain, partly via opioid system",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Modulation of spinal IL-1beta/IL-1RI system,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Spinal M1 muscarinic receptor mediation,muscarinic,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Counteracting NGF-driven variation of substance P (SP) and TRPV1 response,substance P,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Collagen fiber involvement in signal transmission and mast cell degranulation,T cell,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Immune system response modulation (mitigating inflammatory response),immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Decreased substance P and increased beta-endorphin,endorphin,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Th1/Th2 cytokine balance modulation and ERK1/2, p38, NF-kappaB, AP-1 signaling pathways",cytokine,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Increased insulin secretion and/or beta-endorphin mediation,endorphin,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Modulation of NGF and BDNF levels in hippocampus/striatum,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Inhibition of thalamic neuronal responses to visceral nociception,thalamic neuron,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
"Decreased plasma FFAs, increased IRS1/GLUT4, improved insulin sensitivity",insulin sensitivity,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Endogenous opioid pathway activation and reversal of colon DRG neuron excitability,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
L-arg/NO/cGMP pathway activation,cGMP,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Endogenous CCK signaling pathway via vagus nerve,vagus,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Hypothalamic supraoptic nucleus (SON) neuron activation,hypothalam,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Frequency-dependent sympathetic nervous system activation and beta-adrenoceptors,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Elevation of GAD(67) mRNA expression in dentate gyrus,dentate gyrus,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Reduction of nNOS expression/activity in hypothalamus,nNOS expression,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Suppression of aberrant mossy fiber sprouting,mossy fiber sprouting,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
